feature,importance
water_level_m,0.10160231889850145
latitude,0.10120890711783874
longitude,0.10104442437296615
temperature_°c,0.10079692159252504
rainfall_mm,0.10072234626537117
elevation_m,0.10065165116788768
river_discharge_m³s,0.09991432237459802
humidity_,0.09990545307835938
population_density,0.0998639402080377
soil_type,0.03556309051052532
land_cover,0.031335591330084324
infrastructure,0.014014135413907758
historical_floods,0.01333739733180473
annual_rainfall,2.0236452691018315e-05
monsoon_jun_sep,1.9263884901595347e-05
year,0.0
